PPN	Signatur	Signatur_PPN	Product	DateCreated	Artist	
489974465	CD 2205	CD 2205 489974465	Mamadou / Sam Mangwana & l’African All Stars - Happy Music	1995	Mangwana, Sam / African All Stars	
489974473	CD 2207	CD 2207 489974473	Femmes africaines : Mangwana chante Dino Vangu / Sam Mangwana - ETS Ndiaye	2000	Dino Vangu / Mangwana, Sam / Dino Vangu	
489974554	CD 2210	CD 2210 489974554	Galo negro / Sam Mangwana - Putumayo World Music	1998	Mangwana, Sam	
489974589	CD 2211	CD 2211 489974589	Rumba music / Sam Mangwana - Celluloid	1995	Mangwana, Sam	
489974651	CD 2212	CD 2212 489974651	Les stars de l’OK Jazz rendent hommage à Franco : volume 1 / OK Jazz - Belle Congo Productions	1999	Tout-Puissant OK Jazz	
48997466X	CD 2213	CD 2213 48997466X	Les stars de l’OK Jazz rendent hommage à Franco : volume 2 / OK Jazz - Belle Congo Productions	1999	Tout-Puissant OK Jazz	
489990398	CD 2208	CD 2208 489990398	Bilinga linga / Le Moraliste Sam Mangwana avec l’orchestre Festival des Maquisards 1968/1969 - Ngoyarto	1995	Mangwana, Sam / Festival des Maquisards	
489990568	CD 2206	CD 2206 489990568	Festival des Maquisards : zela ngai nasala / Dalienst & Sam Mangwana - Sonodisc	1997	Dalienst, Ntesa / Mangwana, Sam	
489992439	CD 2221	CD 2221 489992439	1960, 1961, 1962 / Franco et l’Ok Jazz (Mujos, Simaro et Kwamy) - Suave	2006	Franco <Musiker> / Mujos / Simaro <Musiker> / Kwamy / Tout-Puissant OK Jazz	
489994008	CD 2209	CD 2209 489994008	Eyebana / L’international Sam Mangwana et l’African All Stars 1980/1984 - Ngoyarto	1995	Mangwana, Sam / Mangwana, Sam / African All Stars	
489995144	CD 2217	CD 2217 489995144	Les rumeurs : inéditis 1988, 1989 / Franco et le TP OK Jazz en compagnie de Sam Mangwana - Sonodisc	1994	Franco <Musiker> / Mangwana, Sam / Tout-Puissant OK Jazz	
490310389	CD 2214	CD 2214 490310389	Les stars de l’OK Jazz rendent hommage à Franco : volume 2 / OK Jazz - Belle Congo Productions	1999	Tout-Puissant OK Jazz	
490311016	CD 2218	CD 2218 490311016	Roots of OK Jazz : Zaire classics 1955-1956 / [Diverse Interpret*innen] - Crammed Discs	1993		
