PPN	Signatur	Product	DateCreated	Artist	
488872359	R 4874	Vol. 4 / Franco & O.K. Jazz - EMI Pathé Marconi	1976	Franco <Musiker> / Tout-Puissant OK Jazz	
488877504	R 4867	Le bon vieux temps de l'O.K. Jazz / OK Jazz - Edipop Production	1982	Franco <Musiker> / Tout-Puissant OK Jazz	
488889197	R 4870	Vol. 1 / Franco et le T.P. O.K. Jazz En Còlere - V.I.S.A. 1980	1980	Franco <Musiker> / Tout-Puissant OK Jazz	
488889685	R 4869	Vol. 2 / Franco et le T.P. O.K. Jazz En Còlere - V.I.S.A. 1980	1980	Franco <Musiker> / Tout-Puissant OK Jazz	
489031579	R 4886	Franco et le T.P.O.K. Jazz à Bruxelles / Franco et le T.P.O.K. Jazz - V.I.S.A. 1980	1980	Franco <Musiker> / Tout-Puissant OK Jazz	
489031951	R 4887	Franco et le T.P.O.K. Jazz à Paris / Franco et le T.P.O.K. Jazz - V.I.S.A. 1980	1980	Franco <Musiker> / Tout-Puissant OK Jazz	
489083439	R 4880	L'afrique danse avec L'Orchestre T.P.O.K. Jazz / T.P.O.K Jazz - African	1979	Tout-Puissant OK Jazz	
489084028	R 4883	Tailleur / Franco et le T.P.O.K. Jazz - Edipop Production	1981	Franco <Musiker> / Tout-Puissant OK Jazz	
489103081	R 4882	Manguta / Nguashi Ntimbo & le T.P. O.K. Jazz - Star	1982	Ngwashi N'Timbo / Tout-Puissant OK Jazz	
489103871	R 4878	Franco et l'OK Jazz / Franco et l'OK Jazz - African	1986	Franco <Musiker> / Tout-Puissant OK Jazz	
48949725X	CD 2186	Kessé kessé / Antoine Moundanda Likembé Géant - Label Bleu	1997	Moundanda, Antoine / Moundanda, Antoine	
489497268	CD 2187	Mosseka / Antoine Moundanda - Celluloid	1995	Moundanda, Antoine	
489497330	CD 2189	Divisé par deux / L’Empire Bakumba & Pépé Kalle - Babi Production	1992	Pépé Kallé / Empire Bakuba	
489497411	CD 2190	Stop feu rouge : Voisin / Nyboma, Madilu, Pepe Kalle et Simaro - Bleu Caraïbes	1990	Nyboma / Madilu System / Simaro <Musiker> / Pépé Kallé	
489497454	CD 2191	Sambi noko ya libala / Pépé Ndombe & Afrizam - Reproduction Ngoyarto	1995	Ndombe, Pepe / Orch. AFRIZAM	
48951541X	CD 2201	No me digas no / Sam Mangwana - Declic Communication	1995	Mangwana, Sam / Mangwana, Sam	
489516793	CD 2181	Le Grand Kalle : volume 1 / Grand Kalle - Authentic Music	1990	Kabasele, Joseph / African Jazz / African Team de Paris	
489974104	CD 2202	Wenze-wenze / Sam Mangwana - Glenn Music	1996	Mangwana, Sam	
489974465	CD 2205	Mamadou / Sam Mangwana & l’African All Stars - Happy Music	1995	Mangwana, Sam / African All Stars	
489974589	CD 2211	Rumba music / Sam Mangwana - Celluloid	1995	Mangwana, Sam	
489990398	CD 2208	Bilinga linga / Le Moraliste Sam Mangwana avec l’orchestre Festival des Maquisards 1968/1969 - Ngoyarto	1995	Mangwana, Sam / Festival des Maquisards	
489990568	CD 2206	Festival des Maquisards : zela ngai nasala / Dalienst & Sam Mangwana - Sonodisc	1997	Dalienst, Ntesa / Mangwana, Sam	
489994008	CD 2209	Eyebana / L’international Sam Mangwana et l’African All Stars 1980/1984 - Ngoyarto	1995	Mangwana, Sam / Mangwana, Sam / African All Stars	
489995144	CD 2217	Les rumeurs : inéditis 1988, 1989 / Franco et le TP OK Jazz en compagnie de Sam Mangwana - Sonodisc	1994	Franco <Musiker> / Mangwana, Sam / Tout-Puissant OK Jazz	
490311016	CD 2218	Roots of OK Jazz : Zaire classics 1955-1956 / [Diverse Interpret*innen] - Crammed Discs	1993		
490311067	CD 2219	Souvenirs de un deux trois / Franco et le T.P. OK Jazz - Grace-Music	1995	Franco <Musiker> / Tout-Puissant OK Jazz	
490311075	CD 2220	Héritage de Franco / Orchestre T.P. O.K. Jazz - Sango Music	1991	Josky / Tout-Puissant OK Jazz	
490328865	CD 2155	Out of Africa : volume 5 / [Diverse Interpret*innen] - Secret Records/IES Production	1990		
490775497	CD 2222	1982, 1985 / Franco, Simaro, Sam Mangwana et le T.P. O.K Jazz - Sonodisc	1994	Franco <Musiker> / Simaro <Musiker> / Mangwana, Sam / Tout-Puissant OK Jazz	
490775586	CD 2226	1972, 1973, 1974 / Franco & le T.P.O.K. Jazz - Sonodisc	1993	Franco <Musiker> / Tout-Puissant OK Jazz	
490775594	CD 2227	Extra ball / Loketo - Shanashie	1991	Loketo	
490775632	CD 2240	Pongi / Ray Lema, Professeur Stefanov et les voix bulgares de l’ensemble Pirin’ - Buda Musique	1992	Lema, Ray / Stefanov, Kiril / Pirin	
490775659	CD 2241	Chaude ambiance avec le T.P. OK Jazz / T.P. Ok Jazz, le Poète Lutumba, le Commandant Kiambukuta, Madilu Multi Systeme - Babi Production International	1993	Tout-Puissant OK Jazz	
490775675	CD 2242	Muzina / Tabu Ley Seigneur Rochereau et l’Orchestre Afrisa International - Rounder Records	1994	Ley, Tabu / Afrisa International Orchestra	
490775756	CD 2243	Franco, Simaro et le TP OK Jazz / Franco, Simaro et le TP OK Jazz - African	1992	Franco <Musiker> / Simaro <Musiker> / Tout-Puissant OK Jazz	
490775853	CD 2244	Tata masamba / Ricardo Lemvo and Makina Loca - Mopiato Music	1996	Lemvo, Ricardo / Makina Loca	
490789730	R 4930	Vol. 5 / Rock a Mambo - Pathé Marconi/EMI	1977	Rock-a-Mambo	
490791883	R 4932	Vol. 1 : (1962-1964) Bantous Jazz / Bantous Jazz - African	1985	Les Bantous de la Capitale	
