PPN	GND-ID	GND-Name	GND-JSON	Kategorie	Rolle	Name	Bemerkung	
122025164	http://d-nb.info/gnd/1074023617	Bel, M'bilia	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1074023617","_standard":"text":"Bel, M'bilia"},"conceptName":"Bel, M'bilia"}	028E	$B:	Bel, M'bilia	1959-	
122025237	http://d-nb.info/gnd/134782542	Ley, Tabu	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/134782542","_standard":"text":"Ley, Tabu"},"conceptName":"Ley, Tabu"}	028C	$B:	Ley, Tabu	1940-2013	
122025237	http://d-nb.info/gnd/1074023617	Bel, M'bilia	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1074023617","_standard":"text":"Bel, M'bilia"},"conceptName":"Bel, M'bilia"}	028E	$B:	Bel, M'bilia	1959-	
122025350	http://d-nb.info/gnd/103491118X	Detta, Jolie	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/103491118X","_standard":"text":"Detta, Jolie"},"conceptName":"Detta, Jolie"}	028E	$B:	Detta, Jolie	1968-2008	
122025571	http://d-nb.info/gnd/134782542	Ley, Tabu	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/134782542","_standard":"text":"Ley, Tabu"},"conceptName":"Ley, Tabu"}	028E	$B:	Ley, Tabu	1940-2013	
122025571	http://d-nb.info/gnd/3028408-9	Afrisa International Orchestra	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3028408-9","_standard":"text":"Afrisa International Orchestra"},"conceptName":"Afrisa International Orchestra"}	029E	$B:	Afrisa International Orchestra		
122025873	http://d-nb.info/gnd/134782542	Ley, Tabu	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/134782542","_standard":"text":"Ley, Tabu"},"conceptName":"Ley, Tabu"}	028E	$B:	Ley, Tabu	1940-2013	
122025873	http://d-nb.info/gnd/3028408-9	Afrisa International Orchestra	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3028408-9","_standard":"text":"Afrisa International Orchestra"},"conceptName":"Afrisa International Orchestra"}	029E	$B:	Afrisa International Orchestra		
122025903	http://d-nb.info/gnd/134782542	Ley, Tabu	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/134782542","_standard":"text":"Ley, Tabu"},"conceptName":"Ley, Tabu"}	028E	$B:	Ley, Tabu	1940-2013	
122025903	http://d-nb.info/gnd/3028408-9	Afrisa International Orchestra	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3028408-9","_standard":"text":"Afrisa International Orchestra"},"conceptName":"Afrisa International Orchestra"}	029E	$B:	Afrisa International Orchestra		
122026195	http://d-nb.info/gnd/135147484	Nico, Docteur	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/135147484","_standard":"text":"Nico, Docteur"},"conceptName":"Nico, Docteur"}	028E	$B:	Nico <Docteur>	1939-1985	
122026195	http://d-nb.info/gnd/3058937-X	Redoutables (Musikgruppe)	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3058937-X","_standard":"text":"Redoutables (Musikgruppe)"},"conceptName":"Redoutables (Musikgruppe)"}	029E	$B:	Redoutables		
122026543	http://d-nb.info/gnd/3059061-9	Trio Madjesi (Musikgruppe)	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3059061-9","_standard":"text":"Trio Madjesi (Musikgruppe)"},"conceptName":"Trio Madjesi (Musikgruppe)"}	029E	$B:	Trio Madjesi		
122026543	http://d-nb.info/gnd/3058938-1	Orchestre Sosoliso	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3058938-1","_standard":"text":"Orchestre Sosoliso"},"conceptName":"Orchestre Sosoliso"}	029E/01	$B:	Orchestre Sosoliso		
